issue,page,kind,fy,fy_raw,revenue,expenditure,balance,surplus,note
169,4,決算,2003,平成15年度の一般会計,219624,215976,3647,3527,
166,2,当初予算,2004,平成16年度一般会計,193000,193000,,,
175,4,決算,2004,平成16年度の一般会計,193093,189087,4006,3981,
173,2,当初予算,2005,平成17年度一般会計,197000,197000,,,
182,4,決算,2005,平成17年度の一般会計,187242,185145,2097,,
179,2,当初予算,2006,平成18年度一般会計,168200,168200,,,
188,4,決算,2006,平成18年度の一般会計,185647,180726,4921,4269,
185,2,当初予算,2007,平成19年度一般会計,176500,176500,,,
193,4,決算,2007,平成19年度の一般会計,209910,204028,5882,5598,
191,2,当初予算,2008,平成20年度一般会計,189000,189000,,,
200,4,決算,2008,平成20年度の一般会計,215709,203848,11861,3497,
197,2,当初予算,2009,平成21年度一般会計,197000,197000,,,
206,4,決算,2009,平成21年度の一般会計,260098,248990,11108,4926,
203,4,当初予算,2010,平成22年度一般会計,188000,188000,,,
212,6,決算,2010,平成22年度の一般会計,227994,219969,8025,3680,
209,4,当初予算,2011,平成23年度一般会計,180000,180000,,,
217,4,決算,2011,平成23年度の一般会計,202438,189883,12555,9770,
215,4,当初予算,2012,平成24年度一般会計,163000,163000,,,
224,6,決算,2012,平成24年度の一般会計,229590,225185,4405,1995,
221,2,当初予算,2013,平成25年度一般会計,180000,180000,,,
230,4,決算,2013,平成25年度の一般会計,214877,206433,8445,7740,
227,2,当初予算,2014,平成26年度一般会計,188000,188000,,,
236,2,決算,2014,平成26年度の一般会計,205790,195849,9941,3162,
233,2,当初予算,2015,平成27年度一般会計,238000,238000,,,
242,2,決算,2015,,246506,232978,13528,7690,紙面から目視採録
239,2,当初予算,2016,,191000,191000,,,紙面から目視採録
251,2,決算,2016,,249734,241171,,,紙面から目視採録(表の計)
245,2,当初予算,2017,,181000,181000,,,紙面から目視採録
263,2,決算,2017,,245935,201372,,,紙面から目視採録(表の計)
257,2,当初予算,2018,,184000,184000,,,紙面から目視採録
276,4,決算,2018,平成30年度の一般会計,240246,219842,20404,5382,
269,2,当初予算,2019,2019年度村の予算,209000,209000,,,
288,2,決算,2019,令和元年度 大鹿村の決算,254566,218971,35595,6855,
281,2,当初予算,2020,令和2年度村の予算,200800,200800,,,
301,2,決算,2020,令和2年度 大鹿村の決算,293918,279083,14835,10677,
293,2,当初予算,2021,令和3年度村の予算,239800,239800,,,
313,4,決算,2021,令和3年度 大鹿村の決算,270811,255446,15365,8540,
305,2,当初予算,2022,令和4年度村の予算,198000,198000,,,
325,4,決算,2022,令和4年度 大鹿村の決算,243883,230735,13150,9341,
317,2,当初予算,2023,令和5年度村の予算,215100,215100,,,
336,4,決算,2023,令和5年度 大鹿村の決算,268466,257941,10525,1053,
329,2,当初予算,2024,令和6年度村の予算,225800,225800,,,
348,8,決算,2024,令和6年度の一般会計,247165,236187,10978,7183,
341,2,当初予算,2025,令和7年度村の予算,265000,265000,,,
353,21,当初予算,2026,令和8年度村の予算,226000,226000,,,
