issue,norm_year,norm_month,year,month,asof_basis,asof_raw,pop,d_pop,male,d_male,female,d_female,households,d_hh,file,note
164,2003,11,2003,11,末日,平成15年11月末日現在,1406,-7,683,-4,723,-3,587,0,Ooshika164.pdf,
165,2003,12,2003,12,末日,平成15年12月末日現在,1401,-5,681,-2,720,-3,584,-3,Ooshika165.pdf,
166,2004,3,2004,3,末日,平成16年03月末日現在,1383,-8,671,-5,712,-3,578,-4,Ooshika166.pdf,
167,2004,5,2004,5,末日,平成16年05月末日現在,1382,-3,670,-3,712,0,583,-1,Ooshika167.pdf,
168,2004,7,2004,7,01日,平成16年07月01日現在,1380,-2,671,1,709,-3,582,-1,Ooshika168.pdf,
169,2004,9,2004,10,1日,平成16年10月１日現在,1378,-1,668,-2,710,1,579,-1,Ooshika169.pdf,
170,2004,11,2004,12,1日,平成16年12月１日現在,1375,-2,669,0,706,-2,578,-1,Ooshika170.pdf,
171,2004,12,2005,1,1日,2005年1月1日現在,1375,0,669,0,706,0,579,1,Ooshika171.pdf,表紙画像から目視採録
172,2005,1,2005,2,1日,平成17年２月１日現在,1378,3,671,2,707,1,579,0,Ooshika172.pdf,
173,2005,2,2005,3,1日,平成17年３月１日現在,1361,-21,663,-9,698,-12,573,-7,Ooshika173.pdf,前月比不一致(印刷-21/実差-17)
174,2005,6,2005,7,1日,平成17年７月１日現在,1355,1,656,1,699,0,571,1,Ooshika174.pdf,
175,2005,9,2005,10,1日,平成17年10月１日現在,1353,2,654,1,699,1,572,1,Ooshika175.pdf,
176,2005,11,2005,12,1日,平成17年12月１日現在,1352,-2,652,-3,700,1,571,-2,Ooshika176.pdf,
177,2005,12,2006,1,1日,2006年1月1日現在,1347,-5,648,-4,699,-1,571,0,Ooshika177.pdf,表紙画像から目視採録
178,2006,2,2006,3,1日,平成18年３月１日現在,1336,-4,644,0,692,-4,568,-1,Ooshika178.pdf,
179,2006,3,2006,4,1日,平成18年４月１日現在,1321,-15,638,-6,683,-9,562,-6,Ooshika179.pdf,
180,2006,6,2006,7,1日,平成18年７月１日現在,1320,0,638,1,682,-1,561,-2,Ooshika180.pdf,
181,2006,8,2006,9,1日,2006年9月1日現在,1318,-1,637,-1,681,0,565,2,Ooshika181.pdf,表紙画像から目視採録
182,2006,9,2006,10,1日,2006年10月1日現在,1318,0,637,0,681,0,567,2,Ooshika182.pdf,表紙画像から目視採録
183,2006,11,2006,12,1日,2006年12月1日現在,1300,-10,627,-6,673,-4,561,-3,ooshika183.pdf,表紙画像から目視採録
184,2006,12,2007,1,1日,2007年1月1日現在,1297,-3,624,-3,673,0,560,-1,ooshika184.pdf,表紙画像から目視採録
185,2007,3,2007,4,1日,2007年4月1日現在,1298,1,622,-3,676,4,557,-5,ooshika185.pdf,表紙画像から目視採録
186,2007,5,2007,6,1日,平成19年６月１日現在,1295,-1,620,0,675,-1,560,0,ooshika186.pdf,
187,2007,6,2007,7,1日,2007年7月1日現在,1291,-4,618,-2,673,-2,559,-1,ooshika187.pdf,表紙画像から目視採録
188,2007,9,2007,10,1日,平成19年10月１日現在,1291,-4,618,-2,673,-2,559,-1,ooshika188.pdf,
189,2007,11,2007,12,1日,平成19年12月１日現在,1275,-4,610,-1,665,-3,554,-3,ooshika189.pdf,
190,2007,12,2008,1,1日,2008年1月1日現在,1271,-4,607,-3,664,-1,557,3,ooshika190.pdf,表紙画像から目視採録
191,2008,3,2008,4,1日,2008年4月1日現在,1259,-13,605,-4,654,-9,550,-5,ooshika191.pdf,表紙画像から目視採録
192,2008,6,2008,7,1日,2008年7月1日現在,1247,-1,597,1,650,-2,546,0,ooshika192.pdf,表紙画像から目視採録
193,2008,9,2008,10,1日,2008年10月1日現在,1247,1,597,0,650,1,547,0,ooshika193.pdf,表紙画像から目視採録
194,2008,11,2008,12,1日,平成20年12月１日現在,1246,-2,596,-1,650,-1,548,1,ooshika194.pdf,
195,2008,12,2009,1,1日,平成21年１月１日現在,1246,0,597,1,649,-1,547,-1,ooshika195.pdf,
196,2009,1,2009,2,1日,2009年2月1日現在,1243,-3,597,0,646,-3,547,0,ooshika196.pdf,表紙画像から目視採録
197,2009,3,2009,4,1日,2009年4月1日現在,1231,-9,590,-5,641,-4,547,2,ooshika197.pdf,表紙画像から目視採録
198,2009,5,2009,6,1日,平成21年６月１日現在,1226,-5,589,-3,637,-2,550,0,ooshika198.pdf,
199,2009,6,2009,7,1日,2009年7月1日現在,1222,-4,588,-1,634,-3,549,-1,ooshika199.pdf,表紙画像から目視採録
200,2009,9,2009,10,1日,2009年10月1日現在,1223,-1,590,0,633,-1,549,-2,ooshika200.pdf,表紙画像から目視採録
201,2009,11,2009,12,1日,2009年12月1日現在,1220,-4,589,-2,631,-2,550,0,ooshika201.pdf,表紙画像から目視採録
202,2009,12,2010,1,1日,2010年1月1日現在,1224,4,592,3,632,1,551,1,ooshika202.pdf,表紙画像から目視採録
203,2010,3,2010,4,1日,2010年4月1日現在,1209,-12,583,-4,626,-8,545,-3,ooshika203.pdf,表紙画像から目視採録
204,2010,5,2010,6,1日,2010年6月1日現在,1208,-3,583,-2,625,-1,547,-1,ooshika204.pdf,表紙画像から目視採録
205,2010,6,2010,7,1日,2010年7月1日現在,1204,-4,584,1,620,-5,547,0,ooshika205.pdf,表紙画像から目視採録
206,2010,9,2010,10,1日,2010年10月1日現在,1200,1,583,0,617,1,546,0,ooshika206.pdf,表紙画像から目視採録
207,2010,11,2010,12,1日,2010年12月1日現在,1193,-7,579,-3,614,-4,548,-1,ooshika207.pdf,表紙画像から目視採録
208,2010,12,2011,1,1日,2011年1月1日現在,1188,-5,576,-3,612,-2,548,0,ooshika208.pdf,表紙画像から目視採録
209,2011,3,2011,4,1日,2011年4月1日現在,1182,0,573,-2,609,2,544,-3,ooshika209.pdf,表紙画像から目視採録
210,2011,5,2011,6,1日,2011年6月1日現在,1184,-3,574,-1,610,-2,545,-1,ooshika210.pdf,表紙画像から目視採録
211,2011,6,2011,7,1日,2011年7月1日現在,1185,1,575,1,610,0,544,-1,ooshika211.pdf,表紙画像から目視採録
