fy,和暦,kind,issue,project,amount_manyen,source,note
2010,H22,決算,212,林道整備事業(中峰黒川・鳥倉・高森山線他),11682,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,林道整備事業(中峰黒川線・鳥倉線・釜沢線他),12363,自動抽出(生テキスト目視確認済),
2012,H24,決算,224,林道整備事業(中峰黒川線・鳥倉線・釜沢線他),15003,自動抽出(生テキスト目視確認済),
2013,H25,決算,230,林道整備事業(中峰黒川線・鳥倉線・釜沢線他),13713,自動抽出(生テキスト目視確認済),
2014,H26,決算,236,林道整備事業(中峰黒川線・鳥倉線他),8289,自動抽出(生テキスト目視確認済),
2015,H27,決算,242,林道整備事業(中峰黒川線・鳥倉線他),7402,紙面画像から目視採録,ATMフォント破損のため画像から採録
2016,H28,決算,251,林道整備事業(中峰黒川線・鳥倉線他),12500,紙面画像から目視採録,ATMフォント破損のため画像から採録
2017,H29,決算,263,林道整備事業(中峰黒川線、鳥倉線他),7419,紙面画像から目視採録,ATMフォント破損のため画像から採録
2018,H30,決算,276,林道整備事業(中峰黒川線、鳥倉線他),8080,自動抽出(生テキスト目視確認済),
2019,R1,決算,288,林道整備事業(中峰黒川線、鳥倉線 他),6897,自動抽出(生テキスト目視確認済),
2020,R2,決算,301,道路改良整備事業(鳥倉線、中峰線、小渋橋、他),18668,自動抽出(生テキスト目視確認済),林道と村道の合算。林道分は分離できない
2021,R3,決算,313,林道整備事業(中峰黒川線、鳥倉線 他),6652,自動抽出(生テキスト目視確認済),
2022,R4,決算,325,林道整備事業(中峰黒川線、鳥倉線他),9421,自動抽出(生テキスト目視確認済),
2023,R5,決算,336,,,自動抽出(生テキスト目視確認済),主要事業一覧に林道整備事業の掲載なし
2024,R6,決算,348,,,自動抽出(生テキスト目視確認済),主要事業一覧に林道整備事業の掲載なし
2010,H22,決算,212,林道施設災害復旧事業,81,自動抽出(生テキスト目視確認済),災害復旧費 / 災害復旧費の内訳事業として掲載
2011,H23,決算,217,林道災害復旧事業(中峰黒川線),452,自動抽出(生テキスト目視確認済),災害復旧費 / 災害復旧費の内訳事業として掲載
2012,H24,決算,224,林道災害復旧事業(中峰黒川線),5771,自動抽出(生テキスト目視確認済),災害復旧費。H23発生分を繰越して実施 / 災害復旧費の内訳事業として掲載
2023,R5,決算,336,林道災害復旧事業,33264,自動抽出(生テキスト目視確認済),費目「災害復旧費」の総額。林道分の額ではない
2024,R6,決算,348,林道災害復旧事業,3024,自動抽出(生テキスト目視確認済),費目「災害復旧費」の総額。林道分の額ではない
2019,R1,当初予算,269,,,自動抽出(生テキスト目視確認済),主要事業一覧に林道事業の掲載なし
2020,R2,当初予算,281,林道維持・改良事業,8306,自動抽出(生テキスト目視確認済),
2021,R3,当初予算,293,林道維持・改良事業,6860,自動抽出(生テキスト目視確認済),
2022,R4,当初予算,305,林道維持・改良事業,6444,自動抽出(生テキスト目視確認済),
2023,R5,当初予算,317,林道維持・改良事業,5211,自動抽出(生テキスト目視確認済),
2024,R6,当初予算,329,林道改良事業,4536,自動抽出(生テキスト目視確認済),
2025,R7,当初予算,341,林道改良事業,2656,自動抽出(生テキスト目視確認済),
2026,R8,当初予算,353,林道維持事業,1415,自動抽出(生テキスト目視確認済),
