fy,和暦,kind,issue,project,amount_manyen,source,note
2010,H22,決算,212,道路維持経費(沢井線、南山線他),1918,自動抽出(生テキスト目視確認済),
2010,H22,決算,212,道路新設改良経費(梨原線、沢井線他),10258,自動抽出(生テキスト目視確認済),
2010,H22,決算,212,農道整備事業,5420,自動抽出(生テキスト目視確認済),
2010,H22,決算,212,森林造成事業(間伐、枝打ち、作業道整備等),8319,自動抽出(生テキスト目視確認済),
2010,H22,決算,212,有害鳥獣駆除及び獣害防除経費,2337,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,村道維持費(赤石線、桐久保線他),1760,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,村道改良事業(沢井線、河合線、南山線他),7508,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,橋梁改修事業(落合橋、岩音橋),2446,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,森林造成事業(間伐、枝打ち、作業道整備等),3497,自動抽出(生テキスト目視確認済),
2011,H23,決算,217,有害鳥獣対策関係経費,2380,自動抽出(生テキスト目視確認済),
2012,H24,決算,224,村道維持費(沢井線、和合線他),1021,自動抽出(生テキスト目視確認済),
2012,H24,決算,224,村道改良事業(沢井線、河合線、中沢線他),13826,自動抽出(生テキスト目視確認済),
2012,H24,決算,224,森林造成事業(間伐、枝打ち、作業道整備等),5761,自動抽出(生テキスト目視確認済),
2012,H24,決算,224,有害鳥獣対策関係経費,1500,自動抽出(生テキスト目視確認済),
2013,H25,決算,230,村道維持費(沢井線、中沢線他),1338,自動抽出(生テキスト目視確認済),
2013,H25,決算,230,村道改良事業(南山線、桐久保線、沢井線他),17098,自動抽出(生テキスト目視確認済),
2013,H25,決算,230,森林造成事業(間伐、枝打ち、作業道整備等),4130,自動抽出(生テキスト目視確認済),
2013,H25,決算,230,有害鳥獣対策関係経費,2043,自動抽出(生テキスト目視確認済),
2014,H26,決算,236,村道維持費(沢井線、南山線他),1255,自動抽出(生テキスト目視確認済),
2014,H26,決算,236,村道改良事業(沢井線、中洞線、沢戸線他),10438,自動抽出(生テキスト目視確認済),
2014,H26,決算,236,森林造成事業(間伐、枝打ち、作業道整備等),4100,自動抽出(生テキスト目視確認済),
2014,H26,決算,236,有害鳥獣対策関係経費,2628,自動抽出(生テキスト目視確認済),
2015,H27,決算,242,森林造成事業(間伐、枝打ち、作業道整備等),3466,紙面画像から目視採録,
2015,H27,決算,242,有害鳥獣対策関係経費,2805,紙面画像から目視採録,
2016,H28,決算,251,農地維持・農道改良事業(黒川線・中峰田本線他),1464,紙面画像から目視採録,
2016,H28,決算,251,村道維持費(赤石線、上市場線他),1782,紙面画像から目視採録,
2016,H28,決算,251,村道改良事業(沢井線、中洞線、沢戸線他),6043,紙面画像から目視採録,
2016,H28,決算,251,森林造成事業(間伐、枝打ち、作業道整備等),3898,紙面画像から目視採録,
2016,H28,決算,251,有害鳥獣対策関係経費,1505,紙面画像から目視採録,
2017,H29,決算,263,村道改良事業(沢戸線、中洞線、上蔵1号線他),7866,紙面画像から目視採録,
2017,H29,決算,263,森林造成事業(間伐、枝打ち、作業道整備等),33134,紙面画像から目視採録,同じ紙面の農林水産業費の総額を上回る。桁が1つ多い可能性
2017,H29,決算,263,有害鳥獣対策関係経費,14228,紙面画像から目視採録,同じ紙面の農林水産業費の総額を上回る。桁が1つ多い可能性
2018,H30,決算,276,村道改良事業(上蔵河原線、沢戸河原線、中洞線、他),7583,自動抽出(生テキスト目視確認済),
2018,H30,決算,276,森林造成事業(間伐、枝打ち、作業道整備等),22827,自動抽出(生テキスト目視確認済),同じ紙面の農林水産業費の総額を上回る。桁が1つ多い可能性
2018,H30,決算,276,有害鳥獣対策関係経費,13116,自動抽出(生テキスト目視確認済),同じ紙面の農林水産業費の総額を上回る。桁が1つ多い可能性
2019,R1,決算,288,村道改良事業(中峰線、万平線、中洞線、他),12565,自動抽出(生テキスト目視確認済),
2019,R1,決算,288,森林造成事業(間伐、枝打ち、作業道整備等),1553,自動抽出(生テキスト目視確認済),
2019,R1,決算,288,有害鳥獣対策関係経費,920,自動抽出(生テキスト目視確認済),
2020,R2,決算,301,森林造成事業(間伐、枝打ち、作業道整備等),585,自動抽出(生テキスト目視確認済),
2020,R2,決算,301,有害鳥獣対策関係経費,1254,自動抽出(生テキスト目視確認済),
2021,R3,決算,313,村道改良事業(中峰線、引の田線、小渋橋、他),20394,自動抽出(生テキスト目視確認済),
2022,R4,決算,325,村道改良事業(塩原線、引の田線、落合橋他),11597,自動抽出(生テキスト目視確認済),
2024,R6,決算,348,村道道路改良工事,16133,自動抽出(生テキスト目視確認済),
2020,R2,当初予算,281,村道維持・改良事業,9234,自動抽出(生テキスト目視確認済),
2020,R2,当初予算,281,小渋橋等橋梁維持工事,13801,自動抽出(生テキスト目視確認済),
2021,R3,当初予算,293,村道維持・改良事業,9695,自動抽出(生テキスト目視確認済),
2021,R3,当初予算,293,橋梁維持経費,8519,自動抽出(生テキスト目視確認済),
2022,R4,当初予算,305,村道維持・改良事業,5758,自動抽出(生テキスト目視確認済),
2022,R4,当初予算,305,橋梁維持経費,5167,自動抽出(生テキスト目視確認済),
2023,R5,当初予算,317,村道維持・改良事業,17341,自動抽出(生テキスト目視確認済),
2024,R6,当初予算,329,村道改良事業,15450,自動抽出(生テキスト目視確認済),
2025,R7,当初予算,341,村道改良事業,5266,自動抽出(生テキスト目視確認済),
2025,R7,当初予算,341,橋梁維持事業,41630,自動抽出(生テキスト目視確認済),
2026,R8,当初予算,353,村道改良事業,5000,自動抽出(生テキスト目視確認済),
2026,R8,当初予算,353,橋梁維持事業,2380,自動抽出(生テキスト目視確認済),
2019,R1,当初予算,269,村道改良事業,10960,自動抽出(生テキスト目視確認済),
2019,R1,当初予算,269,橋梁修繕設計委託事業,1169,自動抽出(生テキスト目視確認済),
