year,age,男,女,計
2005,15〜19歳,0,0,0
2005,20〜24,0,0,0
2005,25〜29,0,0,0
2005,30〜34,1,0,1
2005,35〜39,0,1,1
2005,40〜44,0,1,1
2005,45〜49,0,1,1
2005,50〜54,3,3,6
2005,55〜59,5,1,6
2005,60〜64,6,16,22
2005,65〜69,13,15,28
2005,70〜74,21,5,26
2005,75歳以上,24,20,44
2005,80〜84,,,
2005,85歳以上,,,
2005,計,73,63,136
2010,15〜19歳,0,0,0
2010,20〜24,0,0,0
2010,25〜29,0,0,0
2010,30〜34,0,0,0
2010,35〜39,0,0,0
2010,40〜44,1,0,1
2010,45〜49,2,1,3
2010,50〜54,1,1,2
2010,55〜59,1,3,4
2010,60〜64,10,7,17
2010,65〜69,9,14,23
2010,70〜74,13,15,28
2010,75〜79,19,7,26
2010,80〜84,10,5,15
2010,85歳以上,2,1,3
2010,計,68,54,122
2015,15〜19歳,0,0,0
2015,20〜24,0,0,0
2015,25〜29,2,0,2
2015,30〜34,1,1,2
2015,35〜39,1,0,1
2015,40〜44,1,0,1
2015,45〜49,1,1,2
2015,50〜54,1,1,2
2015,55〜59,2,1,3
2015,60〜64,3,3,6
2015,65〜69,11,8,19
2015,70〜74,14,16,30
2015,75〜79,15,12,27
2015,80〜84,12,6,18
2015,85歳以上,7,5,12
2015,計,71,54,125
2020,15〜19歳,0,0,0
2020,20〜24,0,0,0
2020,25〜29,0,0,0
2020,30〜34,2,0,2
2020,35〜39,0,1,1
2020,40〜44,1,1,2
2020,45〜49,0,0,0
2020,50〜54,2,1,3
2020,55〜59,1,1,2
2020,60〜64,2,1,3
2020,65〜69,5,3,8
2020,70〜74,8,6,14
2020,75〜79,9,12,21
2020,80〜84,10,7,17
2020,85歳以上,10,3,13
2020,計,50,36,86
2025,15〜19歳,0,0,0
2025,20〜24,0,0,0
2025,25〜29,0,0,0
2025,30〜34,0,0,0
2025,35〜39,3,0,3
2025,40〜44,1,0,1
2025,45〜49,1,1,2
2025,50〜54,0,0,0
2025,55〜59,2,0,2
2025,60〜64,4,3,7
2025,65〜69,3,3,6
2025,70〜74,5,7,12
2025,75〜79,7,2,9
2025,80〜84,6,4,10
2025,85歳以上,7,2,9
2025,計,39,22,61
