fy,issue,kind,page,category,amount_manyen,share_pct,source
2003,175,決算,,議会費,2574,1.2,紙面目視
2003,175,決算,,総務費,25249,11.7,紙面目視
2003,175,決算,,民生費,21764,10.1,紙面目視
2003,175,決算,,衛生費,22392,10.4,紙面目視
2003,175,決算,,農林水産業費,40616,18.8,紙面目視
2003,175,決算,,商工費,4377,2.0,紙面目視
2003,175,決算,,土木費,17567,8.1,紙面目視
2003,175,決算,,消防費,6799,3.1,紙面目視
2003,175,決算,,教育費,13925,6.4,紙面目視
2003,175,決算,,災害復旧費,9012,4.2,紙面目視
2003,175,決算,,公債費,40981,19.0,紙面目視
2003,175,決算,,諸支出金,10720,5.0,紙面目視
2004,166,当初予算,3,議会費,2652,1.4,自動抽出(A)
2004,166,当初予算,3,総務費,22774,11.8,自動抽出(A)
2004,166,当初予算,3,民生費,26241,13.6,自動抽出(A)
2004,166,当初予算,3,衛生費,27142,14.1,自動抽出(A)
2004,166,当初予算,3,農林水産業費,27299,14.1,自動抽出(A)
2004,166,当初予算,3,商工費,3355,1.7,自動抽出(A)
2004,166,当初予算,3,土木費,16073,8.3,自動抽出(A)
2004,166,当初予算,3,消防費,7720,4.0,自動抽出(A)
2004,166,当初予算,3,教育費,13428,7.0,自動抽出(A)
2004,166,当初予算,3,災害復旧費,1065,0.6,自動抽出(A)
2004,166,当初予算,3,公債費,43624,22.6,自動抽出(A)
2004,166,当初予算,3,諸支出金,627,0.3,自動抽出(A)
2004,166,当初予算,3,予備費,1000,0.5,自動抽出(A)
2004,175,決算,,議会費,2616,1.4,紙面目視
2004,175,決算,,総務費,22111,11.7,紙面目視
2004,175,決算,,民生費,24297,12.8,紙面目視
2004,175,決算,,衛生費,24933,13.2,紙面目視
2004,175,決算,,農林水産業費,24518,13.0,紙面目視
2004,175,決算,,商工費,3972,2.1,紙面目視
2004,175,決算,,土木費,19364,10.2,紙面目視
2004,175,決算,,消防費,7120,3.8,紙面目視
2004,175,決算,,教育費,12528,6.6,紙面目視
2004,175,決算,,災害復旧費,3104,1.6,紙面目視
2004,175,決算,,公債費,43298,22.9,紙面目視
2004,175,決算,,諸支出金,1226,0.6,紙面目視
2005,173,当初予算,,議会費,2653,1.3,紙面目視
2005,173,当初予算,,総務費,52180,26.5,紙面目視
