fiscal_year,fund_name,balance_start,balance_end,change,source
2018,財政調整基金,480509,481712,1203,H30決算書p99（単位：千円）
2018,減債基金,594335,595834,1499,H30決算書p99（単位：千円）
2018,公共施設等整備基金,905478,812936,-92542,H30決算書p99（単位：千円）
2018,文教施設整備基金,55824,55865,41,H30決算書p99（単位：千円）
2018,ふるさとづくり基金,246229,248503,2274,H30決算書p99（単位：千円）
2018,高齢者福祉基金,72525,72579,54,H30決算書p99（単位：千円）
2018,地域福祉基金,105921,105921,,H30決算書p99（単位：千円）
2018,歌舞伎伝承基金,100000,100000,,H30決算書p99（単位：千円）
2018,畜産経営振興基金,12134,12134,,H30決算書p99（単位：千円）
2018,ふるさと保全基金,7000,7000,,H30決算書p99（単位：千円）
2018,奨学資金貸付基金,3142,3332,190,H30決算書p99（単位：千円）
2018,土地開発基金,60120,38367,-21753,H30決算書p99（単位：千円）
2018,補助事業等つなぎ資金貸付基金,10000,10000,,H30決算書p99（単位：千円）
2019,財政調整基金,481830,482917,1087,R1決算書p100（単位：千円）
2019,減債基金,595834,597337,1503,R1決算書p100（単位：千円）
2019,公共施設等整備基金,812936,714251,-98685,R1決算書p100（単位：千円）
2019,文教施設整備基金,55865,55907,42,R1決算書p100（単位：千円）
2019,ふるさとづくり基金,248503,248596,93,R1決算書p100（単位：千円）
2019,高齢者福祉基金,72579,72633,54,R1決算書p100（単位：千円）
2019,地域福祉基金,105921,105921,,R1決算書p100（単位：千円）
2019,歌舞伎伝承基金,100000,100000,,R1決算書p100（単位：千円）
2019,畜産経営振興基金,12134,12134,,R1決算書p100（単位：千円）
2019,ふるさと保全基金,7000,7000,,R1決算書p100（単位：千円）
2019,奨学資金貸付基金,3332,3382,50,R1決算書p100（単位：千円）
2019,土地開発基金,38367,38367,,R1決算書p100（単位：千円）
2019,補助事業等つなぎ資金貸付基金,10000,10000,,R1決算書p100（単位：千円）
2020,財政調整基金,482917,483385,468,R2決算書p99（単位：千円）
2020,減債基金,597337,633848,36511,R2決算書p99（単位：千円）
2020,公共施設等整備基金,714251,716335,2084,R2決算書p99（単位：千円）
2020,文教施設整備基金,55907,89949,34042,R2決算書p99（単位：千円）
2020,ふるさとづくり基金,248596,348685,100089,R2決算書p99（単位：千円）
2020,高齢者福祉基金,72633,72688,55,R2決算書p99（単位：千円）
2020,地域福祉基金,105921,105921,,R2決算書p99（単位：千円）
2020,歌舞伎伝承基金,100000,100000,,R2決算書p99（単位：千円）
2020,畜産経営振興基金,12134,12134,,R2決算書p99（単位：千円）
2020,ふるさと保全基金,7000,7000,,R2決算書p99（単位：千円）
2020,奨学資金貸付基金,3382,3382,,R2決算書p99（単位：千円）
2020,土地開発基金,38367,38367,,R2決算書p99（単位：千円）
2020,補助事業等つなぎ資金貸付基金,10000,10000,,R2決算書p99（単位：千円）
2020,森林環境譲与税基金,0,7889,7889,R2決算書p99（単位：千円）
2021,財政調整基金,483385,503692,20307,R3決算書p102（単位：千円）
2021,減債基金,633848,635047,1199,R3決算書p102（単位：千円）
2021,公共施設等整備基金,716335,804168,87833,R3決算書p102（単位：千円）
2021,文教施設整備基金,89949,89989,40,R3決算書p102（単位：千円）
2021,ふるさとづくり基金,348685,419964,71279,R3決算書p102（単位：千円）
2021,高齢者福祉基金,72688,72739,51,R3決算書p102（単位：千円）
2021,地域福祉基金,105921,105921,,R3決算書p102（単位：千円）
2021,歌舞伎伝承基金,100000,100000,,R3決算書p102（単位：千円）
2021,畜産経営振興基金,12134,12134,,R3決算書p102（単位：千円）
2021,ふるさと保全基金,7000,7000,,R3決算書p102（単位：千円）
2021,奨学資金貸付基金,3382,3382,,R3決算書p102（単位：千円）
2021,土地開発基金,38367,38367,,R3決算書p102（単位：千円）
2021,補助事業等つなぎ資金貸付基金,10000,10000,,R3決算書p102（単位：千円）
2021,森林環境譲与税基金,7889,19497,11608,R3決算書p102（単位：千円）
2022,財政調整基金,503692,504034,342,R4決算書p103（単位：千円）
2022,減債基金,635047,635502,455,R4決算書p103（単位：千円）
2022,公共施設等整備基金,804168,864699,60531,R4決算書p103（単位：千円）
2022,文教施設整備基金,89989,115008,25019,R4決算書p103（単位：千円）
2022,ふるさとづくり基金,419964,519023,99059,R4決算書p103（単位：千円）
2022,高齢者福祉基金,72739,72755,16,R4決算書p103（単位：千円）
2022,地域福祉基金,105921,105921,,R4決算書p103（単位：千円）
2022,歌舞伎伝承基金,100000,100000,,R4決算書p103（単位：千円）
2022,畜産経営振興基金,12134,12134,,R4決算書p103（単位：千円）
2022,ふるさと保全基金,7000,7000,,R4決算書p103（単位：千円）
2022,奨学資金貸付基金,3382,3382,,R4決算書p103（単位：千円）
2022,土地開発基金,38367,38367,,R4決算書p103（単位：千円）
2022,補助事業等つなぎ資金貸付基金,10000,10000,,R4決算書p103（単位：千円）
2022,森林環境譲与税基金,19497,24379,4882,R4決算書p103（単位：千円）
2023,財政調整基金,504034,504128,94,R5決算書p72（単位：千円）
2023,減債基金,635502,665622,30120,R5決算書p72（単位：千円）
2023,公共施設等整備基金,864699,881860,17161,R5決算書p72（単位：千円）
2023,文教施設整備基金,115008,115013,5,R5決算書p72（単位：千円）
2023,ふるさとづくり基金,519023,620057,101034,R5決算書p72（単位：千円）
2023,高齢者福祉基金,72755,72759,4,R5決算書p72（単位：千円）
2023,地域福祉基金,105921,105921,,R5決算書p72（単位：千円）
2023,歌舞伎伝承基金,100000,100000,,R5決算書p72（単位：千円）
2023,畜産経営振興基金,12134,12134,,R5決算書p72（単位：千円）
2023,ふるさと保全基金,7000,7000,,R5決算書p72（単位：千円）
2023,奨学資金貸付基金,3382,3382,,R5決算書p72（単位：千円）
2023,土地開発基金,38367,38367,,R5決算書p72（単位：千円）
2023,補助事業等つなぎ資金貸付基金,10000,10000,,R5決算書p72（単位：千円）
2023,森林環境譲与税基金,24379,25716,1337,R5決算書p72（単位：千円）
2024,財政調整基金,504128,504221,93,R6決算書p72（単位：千円）
2024,減債基金,665622,665743,121,R6決算書p72（単位：千円）
2024,公共施設等整備基金,881860,882034,174,R6決算書p72（単位：千円）
2024,文教施設整備基金,115013,115030,17,R6決算書p72（単位：千円）
2024,ふるさとづくり基金,620057,620030,-27,R6決算書p72（単位：千円）
2024,高齢者福祉基金,72759,102763,30004,R6決算書p72（単位：千円）
2024,地域福祉基金,105921,105921,,R6決算書p72（単位：千円）
2024,歌舞伎伝承基金,100000,100000,,R6決算書p72（単位：千円）
2024,畜産経営振興基金,12134,12134,,R6決算書p72（単位：千円）
2024,ふるさと保全基金,7000,7000,,R6決算書p72（単位：千円）
2024,奨学資金貸付基金,3382,5610,2228,R6決算書p72（単位：千円）
2024,土地開発基金,38367,38367,,R6決算書p72（単位：千円）
2024,補助事業等つなぎ資金貸付基金,10000,10000,,R6決算書p72（単位：千円）
2024,森林環境譲与税基金,25716,41070,15354,R6決算書p72（単位：千円）
2025,財政調整基金,504221,504414,193,R7決算書p74（単位：千円）
2025,減債基金,665743,666000,257,R7決算書p74（単位：千円）
2025,公共施設等整備基金,882034,882799,765,R7決算書p74（単位：千円）
2025,文教施設整備基金,115030,115070,40,R7決算書p74（単位：千円）
2025,ふるさとづくり基金,620030,620399,369,R7決算書p74（単位：千円）
2025,高齢者福祉基金,102763,142781,40018,R7決算書p74（単位：千円）
2025,地域福祉基金,105921,105921,,R7決算書p74（単位：千円）
2025,歌舞伎伝承基金,100000,100000,,R7決算書p74（単位：千円）
2025,畜産経営振興基金,12134,12134,,R7決算書p74（単位：千円）
2025,ふるさと保全基金,7000,7000,,R7決算書p74（単位：千円）
