fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,jigyo_name,setsu_no,setsu_name,level,is_leaf,saisetsu_name,saisaisetsu_name,dan2_name,dan3_name,dan4_name,amount,source
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,,,0,0,,,,,,942897,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,11,需用費,1,0,,,,,,399440,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,11,需用費,2,0,01消耗品,,,,,32240,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,11,需用費,3,1,01消耗品,02図書購入費,,,,32240,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,11,需用費,2,0,31印刷製本費,,,,,367200,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,11,需用費,3,1,31印刷製本費,01議会だより印刷代,,,,367200,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,13,委託料,1,0,,,,,,216000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,13,委託料,2,0,01資料作成委託料,,,,,216000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,13,委託料,3,1,01資料作成委託料,01議事録作成委託料,,,,216000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,1,0,,,,,,327457,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,2,0,21負担金,,,,,327457,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,3,1,21負担金,02議長会負担金,,,,53300,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,3,1,21負担金,03全国森林環境税創設促進議員連盟負担金,,,,20000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,3,1,21負担金,04全国議長会会議負担金,,,,7840,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,3,1,21負担金,05北部ブロック会議負担金,,,,165963,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議会一般管理経費,19,負担金補助及び交付金,3,1,21負担金,07中部伊那会議負担金,,,,80354,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,,,0,0,,,,,,25782780,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,1,報酬,1,0,,,,,,20528700,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,1,報酬,2,0,01議員報酬,,,,,14760000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,1,報酬,3,1,01議員報酬,01議員報酬,,,,14760000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,1,報酬,2,0,02議員期末手当,,,,,5768700,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,1,報酬,3,1,02議員期末手当,01議員期末手当,,,,5768700,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,4,共済費,1,0,,,,,,5254080,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,4,共済費,2,0,01議員共済負担金,,,,,5134080,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,4,共済費,3,1,01議員共済負担金,01議員共済負担金,,,,5134080,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,4,共済費,2,0,02議員共済事務費,,,,,120000,H30決算書p27
2018,1,議会費,1,議会費,1,議会費,議員人件費,4,共済費,3,1,02議員共済事務費,01議員共済事務費,,,,120000,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,,,0,0,,,,,,14292995,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,1,報酬,1,0,,,,,,559200,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,1,報酬,2,0,11委員報酬,,,,,559200,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,1,報酬,3,1,11委員報酬,01自治会長年報酬,,,,322700,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,1,報酬,3,1,11委員報酬,02自治会長会議報酬,,,,219300,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,1,報酬,3,1,11委員報酬,03報酬審議会委員報酬,,,,17200,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,8,報償費,1,0,,,,,,35000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,8,報償費,2,0,01謝金,,,,,35000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,8,報償費,3,1,01謝金,03車両整備管理者謝金,,,,20000,H30決算書p28
