fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,reserve_or_transfer,budget_total,expended,carryover_out,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,source
2018,1,議会費,1,議会費,1,議会費,26713000,78000,0,0,26791000,26725677,,0,0,0,65323,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,125057000,9769000,0,0,134826000,131734976,,0,0,0,3091024,H30決算書p27
2018,2,総務費,1,総務管理費,2,文書広報費,10062000,-526000,0,0,9536000,9114931,,0,0,0,421069,H30決算書p30
2018,2,総務費,1,総務管理費,3,財政管理費,8680000,0,0,0,8680000,8676625,,0,0,0,3375,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,11897000,696000,0,0,12593000,11245393,,0,0,0,1347607,H30決算書p31
2018,2,総務費,1,総務管理費,6,企画費,53405000,3931000,0,0,57336000,41161889,,0,13004000,0,3170111,H30決算書p32
2018,2,総務費,1,総務管理費,8,交通安全対策費,2087000,8116000,0,0,10203000,7313319,,0,0,0,2889681,H30決算書p34
2018,2,総務費,1,総務管理費,9,電子計算費,46783000,926000,0,0,47709000,46485015,,0,0,0,1223985,H30決算書p35
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,67170000,63970000,0,0,131140000,118755007,,0,0,0,12384993,H30決算書p36
2018,2,総務費,2,徴税費,1,税務総務費,22071000,-1851000,0,0,20220000,19922449,,0,0,0,297551,H30決算書p37
2018,2,総務費,2,徴税費,2,賦課徴収費,5713000,-4029000,0,0,1684000,1682429,,0,0,0,1571,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,24131000,-1836000,0,0,22295000,22185264,,0,0,0,109736,H30決算書p38
2018,2,総務費,4,選挙費,1,選挙管理委員会費,247000,-96000,0,0,151000,133200,,0,0,0,17800,H30決算書p39
2018,2,総務費,4,選挙費,6,長野県議会議員選挙費,0,951000,0,0,951000,910349,,0,0,0,40651,H30決算書p39
2018,2,総務費,4,選挙費,10,長野県知事選挙費,3034000,0,0,0,3034000,2915631,,0,0,0,118369,H30決算書p39
2018,2,総務費,5,統計調査費,2,指定統計調査費,187000,42000,0,0,229000,218302,,0,0,0,10698,H30決算書p40
2018,2,総務費,6,監査委員費,1,監査委員費,593000,26000,0,0,619000,610624,,0,0,0,8376,H30決算書p40
2018,2,総務費,7,国土調査費,1,地籍調査費,18834000,-1160000,0,0,17674000,17505781,,0,0,0,168219,H30決算書p40
2018,3,民生費,1,社会福祉費,1,社会福祉総務費,64759000,-1297000,0,0,63462000,61777139,,0,0,0,1684861,H30決算書p42
2018,3,民生費,1,社会福祉費,2,老人福祉費,71440000,-16725000,0,0,54715000,53564293,,0,0,0,1150707,H30決算書p44
2018,3,民生費,1,社会福祉費,3,国民年金事務費,2778000,141000,0,0,2919000,2897600,,0,0,0,21400,H30決算書p45
2018,3,民生費,1,社会福祉費,4,障害者福祉費,64383000,3193000,0,0,67576000,67176285,,0,0,0,399715,H30決算書p46
2018,3,民生費,1,社会福祉費,7,定住対策費,12103000,-6432000,0,0,5671000,5552200,,0,0,0,118800,H30決算書p46
2018,3,民生費,1,社会福祉費,10,老人福祉施設管理運営費,28234000,4584000,0,0,32818000,32764595,,0,0,0,53405,H30決算書p47
2018,3,民生費,1,社会福祉費,13,在宅介護支援センター運営費,1772000,-180000,0,0,1592000,1542855,,0,0,0,49145,H30決算書p47
2018,3,民生費,1,社会福祉費,14,授産施設一般管理費,20436000,783000,0,0,21219000,20823928,,0,0,0,395072,H30決算書p48
2018,3,民生費,1,社会福祉費,15,授産施設業務費,5721000,182000,0,0,5903000,5898460,,0,0,0,4540,H30決算書p49
2018,3,民生費,2,児童福祉費,2,児童措置費,11712000,183000,0,0,11895000,11503068,,0,0,0,391932,H30決算書p50
2018,3,民生費,2,児童福祉費,5,保育所費,43780000,-483000,0,0,43297000,34759660,,0,8077000,0,460340,H30決算書p50
2018,3,民生費,2,児童福祉費,7,児童クラブ運営費,2545000,3000,0,0,2548000,2546800,,0,0,0,1200,H30決算書p52
2018,3,民生費,2,児童福祉費,8,通学合宿事業費,426000,-74000,0,0,352000,344534,,0,0,0,7466,H30決算書p52
2018,4,衛生費,1,保健衛生費,1,保健衛生総務費,76928000,5981000,0,0,82909000,81072774,,0,0,0,1836226,H30決算書p53
2018,4,衛生費,1,保健衛生費,2,予防費,10909000,-4343000,0,0,6566000,6389132,,0,0,0,176868,H30決算書p54
2018,4,衛生費,1,保健衛生費,3,環境衛生費,10730000,474000,0,0,11204000,10415950,,0,0,0,788050,H30決算書p56
2018,4,衛生費,2,清掃費,1,し尿処理費,14816000,-31000,0,0,14785000,14784880,,0,0,0,120,H30決算書p57
2018,4,衛生費,2,清掃費,2,塵芥処理費,22547000,4461000,0,0,27008000,25350315,,0,0,0,1657685,H30決算書p57
2018,6,農林水産業費,1,農業費,1,農業委員会費,2872000,-109000,0,0,2763000,2752642,,0,0,0,10358,H30決算書p58
