fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,setsu_no,setsu_name,amount,expended,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,note,source
2018,2,総務費,1,総務管理費,1,一般管理費,1,報酬,584000,559200,0,0,0,24800,,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,2,給料,44305000,44204400,0,0,0,100600,,H30決算書p27
2018,2,総務費,1,総務管理費,1,一般管理費,3,職員手当等,50894000,50713597,0,0,0,180403,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,4,共済費,21192000,19349858,0,0,0,1842142,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,7,賃金,2493000,2479600,0,0,0,13400,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,8,報償費,35000,35000,0,0,0,0,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,9,旅費,170000,169760,0,0,0,240,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,10,交際費,270000,266038,0,0,0,3962,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,11,需用費,6199000,5789039,0,0,0,409961,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,12,役務費,652000,604768,0,0,0,47232,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,13,委託料,1899000,1819066,0,0,0,79934,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,14,使用料及び賃借料,3733000,3576786,0,0,0,156214,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,19,負担金補助及び交付金,2361000,2131314,0,0,0,229686,,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,27,公課費,39000,36550,0,0,0,2450,,H30決算書p28
2018,2,総務費,1,総務管理費,2,文書広報費,1,報酬,247000,237500,0,0,0,9500,,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,7,賃金,225000,225000,0,0,0,0,,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,11,需用費,2600000,2488733,0,0,0,111267,,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,12,役務費,2007000,1876098,0,0,0,130902,,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,13,委託料,1275000,1274400,0,0,0,600,,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,15,工事請負費,3182000,3013200,0,0,0,168800,,H30決算書p30
2018,2,総務費,1,総務管理費,3,財政管理費,11,需用費,50000,47425,0,0,0,2575,,H30決算書p31
2018,2,総務費,1,総務管理費,3,財政管理費,13,委託料,8630000,8629200,0,0,0,800,,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,11,需用費,7579000,6630346,0,0,0,948654,,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,12,役務費,1303000,1185907,0,0,0,117093,,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,13,委託料,2108000,1914359,0,0,0,193641,,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,14,使用料及び賃借料,435000,434781,0,0,0,219,,H30決算書p31
2018,2,総務費,1,総務管理費,5,財産管理費,15,工事請負費,1168000,1080000,0,0,0,88000,,H30決算書p31
2018,2,総務費,1,総務管理費,6,企画費,1,報酬,368000,135200,0,0,0,232800,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,4,共済費,1586000,1533820,0,0,0,52180,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,7,賃金,710000,699550,0,0,0,10450,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,8,報償費,100000,50000,0,0,0,50000,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,9,旅費,875000,558460,0,0,0,316540,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,11,需用費,4526000,4022220,0,0,0,503780,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,12,役務費,364000,323739,0,0,0,40261,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,13,委託料,13141000,72360,0,13004000,0,64640,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,14,使用料及び賃借料,2097000,1842251,0,0,0,254749,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,15,工事請負費,200000,0,0,0,0,200000,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,19,負担金補助及び交付金,32813000,31368733,0,0,0,1444267,,H30決算書p32
2018,2,総務費,1,総務管理費,6,企画費,23,償還金利子及び割引料,556000,555556,0,0,0,444,,H30決算書p32
2018,2,総務費,1,総務管理費,8,交通安全対策費,11,需用費,382000,332369,0,0,0,49631,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,12,役務費,52000,51294,0,0,0,706,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,13,委託料,6607000,3857146,0,0,0,2749854,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,15,工事請負費,1109000,1021680,0,0,0,87320,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,16,原材料費,1433000,1432080,0,0,0,920,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,19,負担金補助及び交付金,613000,612150,0,0,0,850,,H30決算書p34
2018,2,総務費,1,総務管理費,8,交通安全対策費,27,公課費,7000,6600,0,0,0,400,,H30決算書p34
2018,2,総務費,1,総務管理費,9,電子計算費,11,需用費,104000,74829,0,0,0,29171,,H30決算書p35
2018,2,総務費,1,総務管理費,9,電子計算費,12,役務費,660000,659664,0,0,0,336,,H30決算書p35
2018,2,総務費,1,総務管理費,9,電子計算費,13,委託料,32255000,31231872,0,0,0,1023128,,H30決算書p35
2018,2,総務費,1,総務管理費,9,電子計算費,14,使用料及び賃借料,11854000,11685189,0,0,0,168811,,H30決算書p35
2018,2,総務費,1,総務管理費,9,電子計算費,19,負担金補助及び交付金,2836000,2833461,0,0,0,2539,,H30決算書p35
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,1,報酬,14000,13500,0,0,0,500,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,11,需用費,780000,762037,0,0,0,17963,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,12,役務費,432000,265740,0,0,0,166260,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,13,委託料,17530000,16340400,0,0,0,1189600,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,14,使用料及び賃借料,5833000,5796040,0,0,0,36960,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,15,工事請負費,41741000,32784393,0,0,0,8956607,,H30決算書p36
2018,2,総務費,1,総務管理費,10,ＣＡＴＶ事業費,19,負担金補助及び交付金,64810000,62792897,0,0,0,2017103,,H30決算書p36
2018,2,総務費,2,徴税費,1,税務総務費,2,給料,6270000,6269700,0,0,0,300,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,3,職員手当等,3972000,3901930,0,0,0,70070,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,4,共済費,2055000,2054578,0,0,0,422,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,11,需用費,58000,56219,0,0,0,1781,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,12,役務費,256000,232131,0,0,0,23869,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,13,委託料,6170000,5981585,0,0,0,188415,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,14,使用料及び賃借料,1321000,1317789,0,0,0,3211,,H30決算書p37
2018,2,総務費,2,徴税費,1,税務総務費,19,負担金補助及び交付金,118000,108517,0,0,0,9483,,H30決算書p37
2018,2,総務費,2,徴税費,2,賦課徴収費,11,需用費,1163000,1162188,0,0,0,812,,H30決算書p38
2018,2,総務費,2,徴税費,2,賦課徴収費,23,償還金利子及び割引料,521000,520241,0,0,0,759,,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,11,需用費,101000,96944,0,0,0,4056,,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,13,委託料,10846000,10742112,0,0,0,103888,,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,14,使用料及び賃借料,9604000,9603144,0,0,0,856,,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,18,備品購入費,579000,578664,0,0,0,336,,H30決算書p38
2018,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,19,負担金補助及び交付金,1165000,1164400,0,0,0,600,,H30決算書p38
2018,2,総務費,4,選挙費,1,選挙管理委員会費,1,報酬,136000,118600,0,0,0,17400,,H30決算書p39
2018,2,総務費,4,選挙費,1,選挙管理委員会費,19,負担金補助及び交付金,15000,14600,0,0,0,400,,H30決算書p39
2018,2,総務費,4,選挙費,6,長野県議会議員選挙費,1,報酬,69000,68912,0,0,0,88,,H30決算書p39
2018,2,総務費,4,選挙費,6,長野県議会議員選挙費,3,職員手当等,123000,119376,0,0,0,3624,,H30決算書p39
2018,2,総務費,4,選挙費,6,長野県議会議員選挙費,11,需用費,616000,580825,0,0,0,35175,,H30決算書p39
