fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,budget_total,assessed,received,bad_debt,uncollected,source
2018,1,村税,1,村民税,1,個人村民税,24990000,1892000,0,26882000,26909300,26842914,0,66386,H30決算書p10
2018,1,村税,1,村民税,2,法人村民税,13546000,6941000,0,20487000,20488200,20488200,0,0,H30決算書p10
2018,1,村税,2,固定資産税,1,固定資産税,36653000,2993000,0,39646000,39646000,39646000,0,0,H30決算書p10
2018,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,98739000,0,0,98739000,98740500,98740500,0,0,H30決算書p10
2018,1,村税,3,軽自動車税,1,軽自動車税,4798000,39000,0,4837000,4831100,4831100,0,0,H30決算書p10
2018,1,村税,4,村たばこ税,1,村たばこ税,2064000,-29000,0,2035000,2035626,2035626,0,0,H30決算書p10
2018,1,村税,8,入湯税,1,入湯税,345000,-145000,0,200000,96000,96000,0,0,H30決算書p11
2018,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,7155000,31000,0,7186000,7186000,7186000,0,0,H30決算書p11
2018,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,17831000,-127000,0,17704000,17704000,17704000,0,0,H30決算書p11
2018,3,利子割交付金,1,利子割交付金,1,利子割交付金,101000,21000,0,122000,122000,122000,0,0,H30決算書p11
2018,4,配当割交付金,1,配当割交付金,1,配当割交付金,187000,22000,0,209000,209000,209000,0,0,H30決算書p11
2018,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,196000,-18000,0,178000,178000,178000,0,0,H30決算書p11
2018,6,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,19090000,993000,0,20083000,20083000,20083000,0,0,H30決算書p12
2018,8,自動車取得税交付金,1,自動車取得税交付金,1,自動車取得税交付金,5506000,379000,0,5885000,5885000,5885000,0,0,H30決算書p12
2018,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,102000,-9000,0,93000,93000,93000,0,0,H30決算書p12
2018,10,地方交付税,1,地方交付税,1,地方交付税,950000000,187536000,0,1137536000,1137536000,1137536000,0,0,H30決算書p12
2018,11,分担金及び負担金,2,負担金,1,総務費負担金,60000,-60000,0,0,0,0,0,0,H30決算書p12
2018,11,分担金及び負担金,2,負担金,2,民生費負担金,521000,-116000,0,405000,404496,404496,0,0,H30決算書p12
2018,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,0,387000,0,387000,367712,318893,0,48819,H30決算書p13
2018,12,使用料及び手数料,1,使用料,1,総務使用料,4561000,-698000,0,3863000,3864300,3856300,0,8000,H30決算書p13
2018,12,使用料及び手数料,1,使用料,2,民生使用料,2698000,-171000,0,2527000,2529460,2529460,0,0,H30決算書p13
2018,12,使用料及び手数料,1,使用料,3,農林使用料,4373000,3415000,0,7788000,7789690,5697617,0,2092073,H30決算書p13
2018,12,使用料及び手数料,1,使用料,4,商工使用料,2041000,-6000,0,2035000,2048860,2048860,0,0,H30決算書p13
2018,12,使用料及び手数料,1,使用料,5,土木使用料,16242000,-986000,0,15256000,15256131,15256131,0,0,H30決算書p14
2018,12,使用料及び手数料,1,使用料,7,教育施設使用料,3418000,-793000,0,2625000,2625538,2625538,0,0,H30決算書p14
2018,12,使用料及び手数料,2,手数料,1,総務手数料,960000,-146000,0,814000,814850,814850,0,0,H30決算書p14
2018,12,使用料及び手数料,2,手数料,3,衛生費手数料,1749000,-635000,0,1114000,1114850,1114850,0,0,H30決算書p15
2018,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,40781000,1518000,0,42299000,42299835,42299835,0,0,H30決算書p15
2018,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,0,214196000,0,214196000,213704820,32044864,0,181659956,H30決算書p15
2018,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,1298000,-128000,0,1170000,39708000,39708000,0,0,H30決算書p15
2018,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,439000,556000,0,995000,1002000,1002000,0,0,H30決算書p16
2018,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,552000,0,0,552000,552000,552000,0,0,H30決算書p16
2018,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,68089000,-42528000,0,25561000,32419000,18118000,0,14301000,H30決算書p16
2018,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,10070000,46045000,0,56115000,4966000,4966000,0,0,H30決算書p16
2018,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,148000,6184000,0,6332000,131000,131000,0,0,H30決算書p16
2018,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,154000,16000,0,170000,171356,171356,0,0,H30決算書p17
2018,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,759000,842000,0,1601000,1601522,1601522,0,0,H30決算書p17
2018,14,県支出金,1,県負担金,1,民生費県負担金,40047000,-2142000,0,37905000,37908498,37908498,0,0,H30決算書p17
2018,14,県支出金,2,県補助金,1,総務費県補助金,9310000,27000,0,9337000,9337000,9337000,0,0,H30決算書p17
2018,14,県支出金,2,県補助金,2,民生費県補助金,3162000,-8000,0,3154000,3196000,3196000,0,0,H30決算書p18
2018,14,県支出金,2,県補助金,3,衛生費県補助金,952000,-38000,0,914000,919000,919000,0,0,H30決算書p18
2018,14,県支出金,2,県補助金,4,農林水産業費県補助金,51606000,-15752000,0,35854000,35751914,35751914,0,0,H30決算書p18
2018,14,県支出金,2,県補助金,5,土木費県補助金,759000,3760000,0,4519000,4519200,4519200,0,0,H30決算書p19
2018,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,0,25000,25000,25000,0,0,H30決算書p19
2018,14,県支出金,2,県補助金,9,災害復旧費県補助金,0,15791000,0,15791000,0,0,0,0,H30決算書p19
2018,14,県支出金,3,県委託金,1,総務費県委託金,5062000,1188000,0,6250000,6253315,6253315,0,0,H30決算書p19
2018,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,0,1000,1230,1230,0,0,H30決算書p20
2018,14,県支出金,3,県委託金,3,農林水産業費県委託金,335000,-17000,0,318000,318000,318000,0,0,H30決算書p20
2018,15,財産収入,1,財産運用収入,1,財産貸付収入,2139000,358000,0,2497000,2452623,2426620,0,26003,H30決算書p20
2018,15,財産収入,1,財産運用収入,2,利子及び配当金,7756000,45000,0,7801000,9876624,9876624,0,0,H30決算書p20
2018,15,財産収入,2,財産売払収入,1,不動産売払収入,4200000,13790000,0,17990000,17990605,17990605,0,0,H30決算書p21
2018,15,財産収入,2,財産売払収入,2,物品売払収入,0,100000,0,100000,100000,100000,0,0,H30決算書p21
2018,15,財産収入,2,財産売払収入,3,生産物売払収入,363000,0,0,363000,327300,327300,0,0,H30決算書p21
2018,16,寄付金,1,寄付金,1,寄付金,6100000,6255000,0,12355000,12390000,12390000,0,0,H30決算書p21
2018,17,繰入金,1,基金繰入金,1,財政調整基金繰入金,0,0,0,0,0,0,0,0,H30決算書p22
2018,17,繰入金,1,基金繰入金,2,減債基金繰入金,66000000,-66000000,0,0,0,0,0,0,H30決算書p22
2018,17,繰入金,1,基金繰入金,3,公共施設等整備基金繰入金,15000000,79851000,0,94851000,94851000,94851000,0,0,H30決算書p22
2018,17,繰入金,1,基金繰入金,4,文教施設整備基金繰入金,0,0,0,0,0,0,0,0,H30決算書p22
2018,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,3000000,0,0,3000000,3000000,3000000,0,0,H30決算書p22
2018,18,繰越金,1,繰越金,1,前年度繰越金,30000000,12305000,0,42305000,445634098,445634098,0,0,H30決算書p22
2018,19,諸収入,1,延滞金加算金及び過料,1,延滞金,5000,-3000,0,2000,2100,2100,0,0,H30決算書p22
2018,19,諸収入,2,預金利子,1,村預金利子,125000,0,0,125000,14467,14467,0,0,H30決算書p22
2018,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,-300000,0,0,0,0,0,0,H30決算書p23
2018,19,諸収入,3,貸付金元利収入,2,奨学資金貸付金元利収入,0,190000,0,190000,190000,190000,0,0,H30決算書p23
2018,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,19004000,-18788000,0,216000,179700,179700,0,0,H30決算書p23
2018,19,諸収入,4,受託事業収入,2,授産事業受託収入,5721000,177000,0,5898000,5898460,5898460,0,0,H30決算書p23
2018,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1022000,-82000,0,940000,954360,954360,0,0,H30決算書p23
2018,19,諸収入,5,雑入,1,雑入,18930000,100555000,0,119485000,55703669,55383065,0,320604,H30決算書p23
2018,19,諸収入,5,雑入,4,介護給付費収入,5160000,510000,0,5670000,5679280,5679280,0,0,H30決算書p25
2018,20,村債,1,村債,1,総務債,203700000,-130000000,21400000,95100000,86500000,86500000,0,0,H30決算書p25
2018,20,村債,1,村債,3,災害復旧債,0,17400000,0,17400000,5900000,5900000,0,0,H30決算書p26
2018,20,村債,1,村債,4,教育債,0,14100000,0,14100000,0,0,0,0,H30決算書p26
2019,1,村税,1,村民税,1,個人村民税,24938000,588000,0,25526000,25536598,25460573,9027,66998,R1決算書p10
2019,1,村税,1,村民税,2,法人村民税,18356000,173000,0,18529000,18530100,18530100,0,0,R1決算書p10
2019,1,村税,2,固定資産税,1,固定資産税,38652000,6792000,0,45444000,45444900,45444900,0,0,R1決算書p10
2019,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,95018000,0,0,95018000,95019400,95019400,0,0,R1決算書p10
2019,1,村税,3,軽自動車税,1,軽自動車税,4838000,-4000,0,4834000,4834900,4834900,0,0,R1決算書p10
2019,1,村税,3,軽自動車税,2,環境性能割,0,35000,0,35000,35900,35900,0,0,R1決算書p10
2019,1,村税,4,村たばこ税,1,村たばこ税,1956000,516000,0,2472000,2472583,2472583,0,0,R1決算書p11
2019,1,村税,8,入湯税,1,入湯税,225000,-27000,0,198000,198000,198000,0,0,R1決算書p11
2019,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,7059000,-709000,0,6350000,6350002,6350002,0,0,R1決算書p11
2019,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,17151000,1141000,0,18292000,18292000,18292000,0,0,R1決算書p11
2019,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,0,5510000,0,5510000,5510000,5510000,0,0,R1決算書p11
2019,3,利子割交付金,1,利子割交付金,1,利子割交付金,108000,-50000,0,58000,58000,58000,0,0,R1決算書p11
2019,4,配当割交付金,1,配当割交付金,1,配当割交付金,249000,12000,0,261000,261000,261000,0,0,R1決算書p11
2019,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,188000,-35000,0,153000,153000,153000,0,0,R1決算書p12
2019,6,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,19589000,-564000,0,19025000,19025000,19025000,0,0,R1決算書p12
2019,7,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,0,841000,0,841000,841000,841000,0,0,R1決算書p12
2019,8,自動車取得税交付金,1,自動車取得税交付金,1,自動車取得税交付金,5650000,-2180000,0,3470000,3470000,3470000,0,0,R1決算書p12
2019,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,93000,1706000,0,1799000,1799000,1799000,0,0,R1決算書p12
2019,10,地方交付税,1,地方交付税,1,地方交付税,920000000,195968000,0,1115968000,1115968000,1115968000,0,0,R1決算書p13
2019,11,分担金及び負担金,2,負担金,2,民生費負担金,149000,331000,0,480000,480600,480600,0,0,R1決算書p13
2019,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,89000,12000,0,101000,104040,104040,0,0,R1決算書p13
2019,12,使用料及び手数料,1,使用料,1,総務使用料,7000,63000,0,70000,71000,71000,0,0,R1決算書p13
2019,12,使用料及び手数料,1,使用料,2,民生使用料,1848000,482000,0,2330000,2330980,2330980,0,0,R1決算書p13
2019,12,使用料及び手数料,1,使用料,3,農林使用料,3498000,2085000,0,5583000,5584744,3858153,0,1726591,R1決算書p14
2019,12,使用料及び手数料,1,使用料,4,商工使用料,2409000,-40000,0,2369000,2369060,2369060,0,0,R1決算書p14
2019,12,使用料及び手数料,1,使用料,5,土木使用料,15348000,14000,0,15362000,15362571,15362571,0,0,R1決算書p14
2019,12,使用料及び手数料,1,使用料,7,教育施設使用料,3373000,-241000,0,3132000,3133599,3133599,0,0,R1決算書p14
2019,12,使用料及び手数料,2,手数料,1,総務手数料,808000,26000,0,834000,835950,835950,0,0,R1決算書p15
2019,12,使用料及び手数料,2,手数料,3,衛生費手数料,1312000,-120000,0,1192000,1192850,1192850,0,0,R1決算書p15
2019,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,42526000,430000,0,42956000,42959649,42959649,0,0,R1決算書p15
2019,13,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,0,794000,0,794000,794000,794000,0,0,R1決算書p15
2019,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,19791000,2096000,181659955,203546955,203546956,193599793,0,9947163,R1決算書p16
2019,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,122000,1703000,0,1825000,1825000,1825000,0,0,R1決算書p16
2019,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,597000,3408000,0,4005000,4005000,4005000,0,0,R1決算書p16
2019,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,1093000,-104000,0,989000,989000,989000,0,0,R1決算書p16
2019,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,42320000,-18082000,14301000,38539000,38539000,28023000,0,10516000,R1決算書p16
2019,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,9520000,-6369000,51149000,54300000,54300500,54300500,0,0,R1決算書p17
2019,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,130000,80744000,5535000,86409000,5666000,5666000,0,0,R1決算書p17
2019,13,国庫支出金,2,国庫補助金,7,商工費国庫補助金,750000,1258000,0,2008000,2007500,2007500,0,0,R1決算書p17
2019,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,3170000,538000,0,3708000,3708393,3708393,0,0,R1決算書p17
2019,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,1526000,-91000,0,1435000,1426968,1426968,0,0,R1決算書p17
2019,14,県支出金,1,県負担金,1,民生費県負担金,39838000,-2977000,0,36861000,36901071,36901071,0,0,R1決算書p18
2019,14,県支出金,2,県補助金,1,総務費県補助金,12745000,8561000,0,21306000,12306000,12306000,0,0,R1決算書p18
2019,14,県支出金,2,県補助金,2,民生費県補助金,3466000,334000,0,3800000,3799000,3799000,0,0,R1決算書p18
2019,14,県支出金,2,県補助金,3,衛生費県補助金,1493000,77000,0,1570000,1570000,1570000,0,0,R1決算書p19
2019,14,県支出金,2,県補助金,4,農林水産業費県補助金,36060000,-7225000,0,28835000,28828924,28828924,0,0,R1決算書p19
2019,14,県支出金,2,県補助金,5,土木費県補助金,146000,-98000,0,48000,48250,48250,0,0,R1決算書p20
2019,14,県支出金,2,県補助金,8,教育費県補助金,25000,0,0,25000,25000,25000,0,0,R1決算書p20
2019,14,県支出金,2,県補助金,9,災害復旧費県補助金,0,0,15791000,15791000,15791000,15791000,0,0,R1決算書p20
2019,14,県支出金,3,県委託金,1,総務費県委託金,4714000,-230000,0,4484000,4488508,4488508,0,0,R1決算書p20
2019,14,県支出金,3,県委託金,2,民生費県委託金,1000,0,0,1000,820,820,0,0,R1決算書p20
2019,14,県支出金,3,県委託金,3,農林水産業費県委託金,335000,114000,0,449000,449000,449000,0,0,R1決算書p21
2019,15,財産収入,1,財産運用収入,1,財産貸付収入,2183000,264000,0,2447000,2538751,2465985,0,72766,R1決算書p21
2019,15,財産収入,1,財産運用収入,2,利子及び配当金,7590000,-1000,0,7589000,7515459,7515459,0,0,R1決算書p21
2019,15,財産収入,2,財産売払収入,1,不動産売払収入,2000000,-1264000,0,736000,736055,736055,0,0,R1決算書p21
2019,15,財産収入,2,財産売払収入,3,生産物売払収入,363000,-359000,0,4000,3410,3410,0,0,R1決算書p21
2019,16,寄付金,1,寄付金,1,寄付金,7700000,910000,0,8610000,8900000,8900000,0,0,R1決算書p22
2019,17,繰入金,1,基金繰入金,1,財政調整基金繰入金,0,0,0,0,0,0,0,0,R1決算書p22
