fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,setsu_no,setsu_name,amount,assessed,received,bad_debt,uncollected,note,source
2018,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,0,0,,H30決算書p22
2018,17,繰入金,1,基金繰入金,3,公共施設等整備基金繰入金,1,公共施設等整備基金繰入金,94851000,94851000,94851000,0,0,"公共施設等整備基金繰入金 94,851,000／建物設置、改修事業 94,851,000",H30決算書p22
2018,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,3000000,3000000,3000000,0,0,"ふるさとづくり基金繰入金 3,000,000／ふるさとづくり基金繰入金 3,000,000",H30決算書p22
2018,18,繰越金,1,繰越金,1,前年度繰越金,1,前年度繰越金,42305000,42305098,42305098,0,0,"前年度繰越金 42,305,098／前年度繰越金 42,305,098",H30決算書p22
2018,18,繰越金,1,繰越金,1,前年度繰越金,2,前年度繰越金（明許繰越）,0,71247000,71247000,0,0,"前年度繰越金（一般財源） 71,247,000／前年度繰越金（明繰一般財源） 71,247,000",H30決算書p22
2018,18,繰越金,1,繰越金,1,前年度繰越金,3,前年度繰越金（明許繰越）,0,210000000,210000000,0,0,"基金繰入金（明許繰越） 210,000,000／基金繰入金（明許繰越） 210,000,000",H30決算書p22
2018,18,繰越金,1,繰越金,1,前年度繰越金,4,前年度繰越金（事故繰越）,0,122082000,122082000,0,0,"前年度繰越金（一般財源） 741,000／前年度繰越金（一般財源） 741,000／基金繰入金（事故繰越） 121,341,000／基金繰入金（事故繰越） 121,341,000",H30決算書p22
2019,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,0,0,,R1決算書p22
2019,17,繰入金,1,基金繰入金,3,公共施設等整備基金繰入金,1,公共施設等整備基金繰入金,142511000,142511000,142511000,0,0,"公共施設等整備基金繰入金 142,511,000／建物設置、改修事業 142,511,000",R1決算書p22
2019,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,3000000,4500000,4500000,0,0,"ふるさとづくり基金繰入金 4,500,000／ふるさとづくり基金繰入金 4,500,000",R1決算書p22
2019,18,繰越金,1,繰越金,1,前年度繰越金,1,前年度繰越金,53815000,53815973,53815973,0,0,"前年度繰越金 53,815,973／前年度繰越金 53,815,973",R1決算書p22
2019,18,繰越金,1,繰越金,1,前年度繰越金,2,前年度繰越金（明許繰越）,70373245,70373245,70373245,0,0,"前年度繰越金（一般財源） 70,373,245／前年度繰越金（明繰一般財源） 70,373,245",R1決算書p22
2019,18,繰越金,1,繰越金,1,前年度繰越金,3,前年度繰越金（明許繰越）,79851000,79851000,79851000,0,0,"基金繰入金（明許繰越） 79,851,000／基金繰入金（明許繰越） 79,851,000",R1決算書p23
2020,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,0,0,,R2決算書p22
2020,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,4000000,4000000,4000000,0,0,"ふるさとづくり基金繰入金 4,000,000／ふるさとづくり基金繰入金 4,000,000",R2決算書p22
2020,18,繰越金,1,繰越金,1,前年度繰越金,1,前年度繰越金,68550000,68550750,68550750,0,0,"前年度繰越金 68,550,750／前年度繰越金 68,550,750",R2決算書p22
2020,18,繰越金,1,繰越金,1,前年度繰越金,2,前年度繰越金（明許繰越）,186402837,186402837,186402837,0,0,"前年度繰越金（一般財源） 186,402,837／前年度繰越金（明繰一般財源） 186,402,837",R2決算書p22
2020,18,繰越金,1,繰越金,1,前年度繰越金,3,前年度繰越金（明許繰越）,101000000,101000000,101000000,0,0,"基金繰入金（明許繰越） 101,000,000／基金繰入金（明許繰越） 101,000,000",R2決算書p22
2021,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,0,0,,R3決算書p23
2021,17,繰入金,1,基金繰入金,4,文教施設整備基金繰入金,1,文教施設整備基金繰入金,0,0,0,0,0,,R3決算書p23
2021,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,12490000,12490000,12490000,0,0,"ふるさとづくり基金繰入金 12,490,000／ふるさとづくり基金繰入金 12,490,000",R3決算書p23
2021,18,繰越金,1,繰越金,1,前年度繰越金,1,前年度繰越金,106768000,106768377,106768377,0,0,"前年度繰越金 106,768,377／前年度繰越金 106,768,377",R3決算書p23
2021,18,繰越金,1,繰越金,1,前年度繰越金,2,前年度繰越金（明許繰越）,41582640,41582640,41582640,0,0,"前年度繰越金（一般財源） 41,582,640／前年度繰越金（明繰一般財源） 41,582,640",R3決算書p23
2022,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,0,0,,R4決算書p22
2022,17,繰入金,1,基金繰入金,3,公共施設等整備基金繰入金,1,公共施設等整備基金繰入金,0,0,0,0,0,,R4決算書p22
2022,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,2770000,2770000,2770000,0,0,"ふるさとづくり基金繰入金 2,770,000／ふるさとづくり基金繰入金 2,770,000",R4決算書p23
2022,18,繰越金,1,繰越金,1,前年度繰越金,1,前年度繰越金,85396000,85396608,85396608,0,0,"前年度繰越金 85,396,608／前年度繰越金 85,396,608",R4決算書p23
2022,18,繰越金,1,繰越金,1,前年度繰越金,2,前年度繰越金（明許繰越）,0,68257800,68257800,0,0,"前年度繰越金（一般財源） 68,257,800／前年度繰越金（明繰一般財源） 68,257,800",R4決算書p23
2023,17,繰入金,1,基金繰入金,2,減債基金繰入金,1,減債基金繰入金,0,0,0,,0,,R5決算書p15
2023,17,繰入金,1,基金繰入金,5,ふるさとづくり基金繰入金,1,ふるさとづくり基金繰入金,1590000,1590000,1590000,,0,"ふるさとづくり基金繰入金 1,590,000",R5決算書p15
2023,17,繰入金,1,基金繰入金,11,森林環境譲与税基金繰入金,1,森林環境譲与税基金繰入金,0,0,0,,0,,R5決算書p16
